\variable,cp_membership,cp_membership,cp_membership,cp_membership,cp_membership,cp_membership,
Mauritania,,,,0,0,0,
Mauritius,,,,,0,50,
Mexico,,,"25,000","5,000","50,000","5,250",
Mongolia,,,,"36,333","46,000","48,570",
Morocco,,,,"1,250","1,250",600,
Mozambique,,,,50,0,0,
Namibia,,,,,0,0,
Nepal,,,,"3,250","3,500","8,000",
Netherlands,,,"50,000","15,000","12,000","11,500",
New Zealand,,,"2,000", 400,500,400,
Nicaragua,,,"2,000",200,250,200,
Niger,,,,0,0,0,
Nigeria,,,,50, 100,"1 ,000",
Norway,,,"33,000","4,700","4,500","2,500",
Pakistan,,,,"4,250","3,000","1,450",Modern-day Pakistan and Bangladesh combined
Panama,,,500,50,400,250,
Paraguay,,,N/A,500,"5,000","5,000",
South Yemen,,,,,50,50,
Persian Gulf States,,,,,,50,
Peru,,,"35,000","6,000","8,500","5,000",
Philippines,,,"3,000","1,250","1,200","2,000",
Poland,,,"600,000","1,023,577","1,614,237","2,030,065",
Portugal,,,N/A,"2,000","2,000","2,000",
Reunion,,,,,N/A,500,
Rio Muni,,,,,0,0,Added to Equatorial Guinea
Romania,,,"500,000","720,000","1,240,000","1,800,000",
Rwanda,,,,0,0,0,
San Marino,N/A,N/A,N/A,N/A,N/A,N/A,
Saudi Arabia,,,,50,0,50,
Senegal,,,,0,0,0,
Sierra Leone,,,,0,0,0,
Somalia,,,,50,0,0,
South Africa,,,"1,500","1,500",800,N/A,
Spain,,,N/A,"5,000","5,000","5,000",
Sudan,,,,300,"2,500","7,500",
Suriname,,,,0,0,0,
Swaziland,,,,,0,0,
Sweden,7011,15479,"46,000","25,000","20,000","29,000",
Switzerland,,,"20,000","6,000","6,000","4 ,000",
Syria,,,"8,000","1,500","4,000","3,000",
Tanzania,,,,0,0,0,
Thailand,,,,"4,000",N/A,"2,500",
Togo,,,,50,0,0,
Trinidad and Tobago,,,,75,50,0,
Tunisia,,,"20,000",400,"1,000",100,
Turkey,,,,,"1,000","1,250",
Uganda,,,,0,0,0,
USSR,"446,089","1,210,954","6,000,000","8,366,000","12,000,000","13,500,000",
United Arab Republic,,,,"1,000","1,000",0,
UK,"4,000","9,000","43,500","26,000","34,372","32,532",
USA,"17,000","12,000","75,000",,,"13,000",
Burkina Faso,,,,0,0,0,
Uruguay,,,"15,000","5,000","10,000","21,000",
Venezuela,,,"20,000","40,000","30,000","5,000",
North Vietnam,,,,"620,000","570,000","766,000",
South Vietnam,,,,"1,800","31,000",N/A,
North Yemen,,,,50,50,50,
Yugoslavia,,,"150,000","899,310","1,030,041","1,013,500",
Zambia,,,,0,0,0,
TOTAL,"1,222,035","1,707,769","18,634,500","35,000,000","45,000,000","45,055,700",
