country,year,est
congo (leopoldville),1975,NA
costa rica,1947,11500
costa rica,1952,2000
costa rica,1956,1000
costa rica,1957,300
costa rica,1958,300
costa rica,1959,300
costa rica,1960,300
costa rica,1961,300
costa rica,1962,300
costa rica,1963,300
costa rica,1964,300
costa rica,1965,333.3333333333333
costa rica,1966,425
costa rica,1967,500
costa rica,1968,583.3333333333334
costa rica,1969,600
costa rica,1970,800
costa rica,1971,966.6666666666666
costa rica,1972,1000
costa rica,1973,1000
costa rica,1974,1000
costa rica,1975,1250
council of the entente,1947,NA
council of the entente,1952,NA
council of the entente,1956,NA
council of the entente,1957,NA
council of the entente,1958,NA
council of the entente,1959,NA
council of the entente,1960,NA
council of the entente,1961,NA
council of the entente,1962,NA
council of the entente,1963,NA
council of the entente,1964,NA
council of the entente,1965,NA
council of the entente,1966,NA
council of the entente,1967,NA
council of the entente,1968,NA
council of the entente,1969,NA
council of the entente,1970,NA
council of the entente,1971,0
council of the entente,1972,NA
council of the entente,1973,NA
council of the entente,1974,NA
council of the entente,1975,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1947,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1952,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1956,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1957,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1958,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1959,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1960,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1961,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1962,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1963,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1964,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1965,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1966,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1967,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1968,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1969,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1970,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1971,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1972,0
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1973,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1974,NA
"council of the entente (see also dahomey, ivory coast, niger, togo, upper volta)",1975,NA
cuba,1947,125000
cuba,1952,25000
cuba,1956,30000
cuba,1957,12000
cuba,1958,12000
cuba,1959,27000
cuba,1960,27000
cuba,1961,27000
cuba,1962,60000
cuba,1963,44000
cuba,1964,31500
cuba,1965,40000
cuba,1966,55000
cuba,1967,60000
cuba,1968,60000
cuba,1969,90000
cuba,1970,122500
cuba,1971,123333.33333333333
cuba,1972,125000
cuba,1973,139000
cuba,1974,176500
cuba,1975,200000
curacao,1947,NA
curacao,1952,NA
curacao,1956,NA
curacao,1957,NA
curacao,1958,NA
curacao,1959,NA
curacao,1960,NA
curacao,1961,NA
curacao,1962,NA
curacao,1963,0
curacao,1964,0
curacao,1965,0
curacao,1966,0
curacao,1967,NA
curacao,1968,NA
curacao,1969,NA
curacao,1970,NA
curacao,1971,NA
curacao,1972,NA
curacao,1973,NA
curacao,1974,NA
curacao,1975,NA
cyprus,1947,NA
cyprus,1952,NA
cyprus,1956,NA
cyprus,1957,NA
cyprus,1958,NA
cyprus,1959,NA
cyprus,1960,5000
cyprus,1961,NA
cyprus,1962,NA
cyprus,1963,10000
cyprus,1964,10000
cyprus,1965,10000
cyprus,1966,10000
cyprus,1967,10000
cyprus,1968,13000
cyprus,1969,13000
cyprus,1970,13000
cyprus,1971,13250
cyprus,1972,13000
cyprus,1973,13000
cyprus,1974,13000
cyprus,1975,13000
czechoslovakia,1947,250000
czechoslovakia,1952,NA
czechoslovakia,1956,NA
czechoslovakia,1957,NA
czechoslovakia,1958,NA
czechoslovakia,1959,NA
czechoslovakia,1960,1500000
czechoslovakia,1961,NA
czechoslovakia,1962,NA
czechoslovakia,1963,1773049
czechoslovakia,1964,1624197
czechoslovakia,1965,1676509
czechoslovakia,1966,1684416
czechoslovakia,1967,1698002
czechoslovakia,1968,1694603.5
czechoslovakia,1969,1700000
czechoslovakia,1970,1650000
czechoslovakia,1971,1200000
czechoslovakia,1972,1200000
czechoslovakia,1973,1200000
czechoslovakia,1974,1280000
czechoslovakia,1975,1374000
dahomey,1947,NA
dahomey,1952,NA
dahomey,1956,NA
dahomey,1957,NA
dahomey,1958,NA
dahomey,1959,NA
dahomey,1960,NA
dahomey,1961,NA
dahomey,1962,NA
dahomey,1963,0
dahomey,1964,0
dahomey,1965,0
dahomey,1966,0
dahomey,1967,0
dahomey,1968,0
dahomey,1969,0
dahomey,1970,0
dahomey,1971,0
dahomey,1972,NA
dahomey,1973,NA
dahomey,1974,NA
dahomey,1975,NA
dahomey (see council of the entente),1947,NA
dahomey (see council of the entente),1952,NA
dahomey (see council of the entente),1956,NA
dahomey (see council of the entente),1957,NA
dahomey (see council of the entente),1958,NA
dahomey (see council of the entente),1959,NA
dahomey (see council of the entente),1960,NA
dahomey (see council of the entente),1961,NA
dahomey (see council of the entente),1962,NA
dahomey (see council of the entente),1963,NA
dahomey (see council of the entente),1964,NA
dahomey (see council of the entente),1965,NA
dahomey (see council of the entente),1966,NA
dahomey (see council of the entente),1967,NA
dahomey (see council of the entente),1968,NA
dahomey (see council of the entente),1969,NA
dahomey (see council of the entente),1970,NA
dahomey (see council of the entente),1971,NA
dahomey (see council of the entente),1972,0
dahomey (see council of the entente),1973,NA
dahomey (see council of the entente),1974,NA
dahomey (see council of the entente),1975,NA
democratic people's republic of korea,1947,NA
democratic people's republic of korea,1952,NA
democratic people's republic of korea,1956,NA
democratic people's republic of korea,1957,NA
democratic people's republic of korea,1958,NA
democratic people's republic of korea,1959,NA
democratic people's republic of korea,1960,NA
democratic people's republic of korea,1961,NA
democratic people's republic of korea,1962,NA
democratic people's republic of korea,1963,NA
democratic people's republic of korea,1964,NA
democratic people's republic of korea,1965,NA
democratic people's republic of korea,1966,NA
democratic people's republic of korea,1967,NA
democratic people's republic of korea,1968,NA
democratic people's republic of korea,1969,NA
democratic people's republic of korea,1970,NA
democratic people's republic of korea,1971,1600000
democratic people's republic of korea,1972,NA
democratic people's republic of korea,1973,NA
democratic people's republic of korea,1974,2000000
democratic people's republic of korea,1975,NA
democratic republic of the congo,1947,NA
democratic republic of the congo,1952,NA
democratic republic of the congo,1956,NA
democratic republic of the congo,1957,NA
democratic republic of the congo,1958,NA
democratic republic of the congo,1959,NA
democratic republic of the congo,1960,50
democratic republic of the congo,1961,NA
democratic republic of the congo,1962,NA
democratic republic of the congo,1963,NA
democratic republic of the congo,1964,NA
democratic republic of the congo,1965,50
democratic republic of the congo,1966,NA
democratic republic of the congo,1967,NA
democratic republic of the congo,1968,50
democratic republic of the congo,1969,NA
democratic republic of the congo,1970,NA
democratic republic of the congo,1971,NA
democratic republic of the congo,1972,NA
democratic republic of the congo,1973,NA
democratic republic of the congo,1974,NA
democratic republic of the congo,1975,NA
democratic republic of vietnam (north vietnam),1947,NA
democratic republic of vietnam (north vietnam),1952,NA
democratic republic of vietnam (north vietnam),1956,NA
democratic republic of vietnam (north vietnam),1957,NA
democratic republic of vietnam (north vietnam),1958,NA
democratic republic of vietnam (north vietnam),1959,NA
democratic republic of vietnam (north vietnam),1960,NA
democratic republic of vietnam (north vietnam),1961,NA
democratic republic of vietnam (north vietnam),1962,NA
democratic republic of vietnam (north vietnam),1963,NA
democratic republic of vietnam (north vietnam),1964,NA
democratic republic of vietnam (north vietnam),1965,NA
democratic republic of vietnam (north vietnam),1966,NA
democratic republic of vietnam (north vietnam),1967,NA
democratic republic of vietnam (north vietnam),1968,NA
democratic republic of vietnam (north vietnam),1969,NA
democratic republic of vietnam (north vietnam),1970,NA
democratic republic of vietnam (north vietnam),1971,760000
democratic republic of vietnam (north vietnam),1972,NA
democratic republic of vietnam (north vietnam),1973,NA
democratic republic of vietnam (north vietnam),1974,1300000
democratic republic of vietnam (north vietnam),1975,NA
denmark,1947,60000
denmark,1952,NA
denmark,1956,NA
denmark,1957,NA
denmark,1958,NA
denmark,1959,NA
denmark,1960,5000
denmark,1961,NA
denmark,1962,NA
denmark,1963,5000
denmark,1964,5000
denmark,1965,5000
denmark,1966,5000
denmark,1967,6000
denmark,1968,6000
denmark,1969,6000
denmark,1970,6000
denmark,1971,5500
denmark,1972,5000
denmark,1973,6000
denmark,1974,7500
denmark,1975,8000
djibouti,1947,NA
djibouti,1952,NA
djibouti,1956,NA
djibouti,1957,NA
djibouti,1958,NA
djibouti,1959,NA
djibouti,1960,NA
djibouti,1961,NA
djibouti,1962,NA
djibouti,1963,NA
djibouti,1964,NA
djibouti,1965,0
djibouti,1966,NA
djibouti,1967,NA
djibouti,1968,0
djibouti,1969,NA
djibouti,1970,NA
djibouti,1971,NA
djibouti,1972,NA
djibouti,1973,NA
djibouti,1974,NA
djibouti,1975,NA
dominican republic,1947,1250
dominican republic,1952,NA
dominican republic,1956,NA
dominican republic,1957,NA
dominican republic,1958,NA
dominican republic,1959,NA
dominican republic,1960,NA
dominican republic,1961,NA
dominican republic,1962,NA
dominican republic,1963,NA
dominican republic,1964,NA
dominican republic,1965,NA
dominican republic,1966,1500
dominican republic,1967,1300
dominican republic,1968,1166.6666666666667
dominican republic,1969,1100
dominican republic,1970,1390
dominican republic,1971,1393.3333333333333
dominican republic,1972,1400
dominican republic,1973,1400
dominican republic,1974,1400
dominican republic,1975,2250
east germany,1947,1600000
east germany,1952,NA
east germany,1956,NA
east germany,1957,NA
east germany,1958,NA
east germany,1959,NA
east germany,1960,1472930
east germany,1961,NA
east germany,1962,NA
east germany,1963,NA
east germany,1964,NA
east germany,1965,1610679
east germany,1966,NA
east germany,1967,NA
east germany,1968,1769912
east germany,1969,NA
east germany,1970,NA
east germany,1971,1900000
east germany,1972,NA
east germany,1973,NA
east germany,1974,NA
east germany,1975,NA
ecuador,1947,2500
ecuador,1952,2000
ecuador,1956,5000
ecuador,1957,1000
ecuador,1958,1000
ecuador,1959,1000
ecuador,1960,1000
ecuador,1961,3000
ecuador,1962,3000
ecuador,1963,2500
ecuador,1964,2500
ecuador,1965,2500
ecuador,1966,2000
ecuador,1967,1500
ecuador,1968,1600
ecuador,1969,1650
ecuador,1970,1450
ecuador,1971,1366.6666666666667
ecuador,1972,1200
ecuador,1973,975
ecuador,1974,750
ecuador,1975,600
egypt,1947,NA
egypt,1952,NA
egypt,1956,NA
egypt,1957,NA
egypt,1958,NA
egypt,1959,NA
egypt,1960,NA
egypt,1961,NA
egypt,1962,NA
egypt,1963,NA
egypt,1964,NA
egypt,1965,NA
egypt,1966,NA
egypt,1967,NA
egypt,1968,NA
egypt,1969,NA
egypt,1970,NA
egypt,1971,NA
egypt,1972,0
egypt,1973,NA
egypt,1974,NA
egypt,1975,NA
egypt (see uar),1947,NA
egypt (see uar),1952,NA
egypt (see uar),1956,NA
egypt (see uar),1957,NA
egypt (see uar),1958,NA
egypt (see uar),1959,NA
egypt (see uar),1960,NA
egypt (see uar),1961,NA
egypt (see uar),1962,NA
egypt (see uar),1963,NA
egypt (see uar),1964,NA
egypt (see uar),1965,NA
egypt (see uar),1966,NA
egypt (see uar),1967,NA
egypt (see uar),1968,NA
egypt (see uar),1969,NA
egypt (see uar),1970,NA
egypt (see uar),1971,0
egypt (see uar),1972,NA
egypt (see uar),1973,NA
egypt (see uar),1974,NA
egypt (see uar),1975,NA
el salvador,1947,NA
el salvador,1952,500
el salvador,1956,1000
el salvador,1957,500
el salvador,1958,500
el salvador,1959,1000
el salvador,1960,1000
el salvador,1961,500
el salvador,1962,500
el salvador,1963,500
el salvador,1964,350
el salvador,1965,200
el salvador,1966,200
el salvador,1967,200
el salvador,1968,200
el salvador,1969,200
el salvador,1970,150
el salvador,1971,133.33333333333334
el salvador,1972,115
el salvador,1973,137.5
el salvador,1974,162.5
el salvador,1975,190
equatorial guinea,1947,NA
equatorial guinea,1952,NA
equatorial guinea,1956,NA
equatorial guinea,1957,NA
equatorial guinea,1958,NA
equatorial guinea,1959,NA
equatorial guinea,1960,NA
equatorial guinea,1961,NA
equatorial guinea,1962,NA
equatorial guinea,1963,NA
equatorial guinea,1964,NA
equatorial guinea,1965,NA
equatorial guinea,1966,NA
equatorial guinea,1967,NA
equatorial guinea,1968,0
equatorial guinea,1969,NA
equatorial guinea,1970,NA
equatorial guinea,1971,0
equatorial guinea,1972,NA
equatorial guinea,1973,NA
equatorial guinea,1974,NA
equatorial guinea,1975,NA
ethiopia,1947,NA
ethiopia,1952,NA
ethiopia,1956,NA
ethiopia,1957,NA
ethiopia,1958,NA
ethiopia,1959,NA
ethiopia,1960,50
ethiopia,1961,NA
ethiopia,1962,NA
ethiopia,1963,0
ethiopia,1964,0
ethiopia,1965,0
ethiopia,1966,0
ethiopia,1967,0
ethiopia,1968,0
ethiopia,1969,0
ethiopia,1970,0
ethiopia,1971,0
ethiopia,1972,0
ethiopia,1973,NA
ethiopia,1974,NA
ethiopia,1975,NA
federal republic of germany,1947,NA
federal republic of germany,1952,NA
federal republic of germany,1956,NA
federal republic of germany,1957,NA
federal republic of germany,1958,NA
federal republic of germany,1959,NA
federal republic of germany,1960,NA
federal republic of germany,1961,NA
federal republic of germany,1962,NA
federal republic of germany,1963,NA
federal republic of germany,1964,NA
federal republic of germany,1965,NA
federal republic of germany,1966,NA
federal republic of germany,1967,NA
federal republic of germany,1968,NA
federal republic of germany,1969,NA
federal republic of germany,1970,NA
federal republic of germany,1971,37000
federal republic of germany,1972,NA
federal republic of germany,1973,NA
federal republic of germany,1974,49800
federal republic of germany,1975,40000
federation of malaya,1947,NA
federation of malaya,1952,NA
federation of malaya,1956,NA
federation of malaya,1957,NA
federation of malaya,1958,NA
federation of malaya,1959,NA
federation of malaya,1960,NA
federation of malaya,1961,NA
federation of malaya,1962,NA
federation of malaya,1963,400
federation of malaya,1964,NA
federation of malaya,1965,NA
federation of malaya,1966,NA
federation of malaya,1967,NA
federation of malaya,1968,NA
federation of malaya,1969,NA
federation of malaya,1970,NA
federation of malaya,1971,NA
federation of malaya,1972,NA
federation of malaya,1973,NA
federation of malaya,1974,NA
federation of malaya,1975,NA
federation of rhodesia and nyasaland,1947,NA
federation of rhodesia and nyasaland,1952,NA
federation of rhodesia and nyasaland,1956,NA
federation of rhodesia and nyasaland,1957,NA
federation of rhodesia and nyasaland,1958,NA
federation of rhodesia and nyasaland,1959,NA
federation of rhodesia and nyasaland,1960,NA
federation of rhodesia and nyasaland,1961,NA
federation of rhodesia and nyasaland,1962,NA
federation of rhodesia and nyasaland,1963,0
federation of rhodesia and nyasaland,1964,NA
federation of rhodesia and nyasaland,1965,NA
federation of rhodesia and nyasaland,1966,NA
federation of rhodesia and nyasaland,1967,NA
federation of rhodesia and nyasaland,1968,NA
federation of rhodesia and nyasaland,1969,NA
federation of rhodesia and nyasaland,1970,NA
federation of rhodesia and nyasaland,1971,NA
federation of rhodesia and nyasaland,1972,NA
federation of rhodesia and nyasaland,1973,NA
federation of rhodesia and nyasaland,1974,NA
federation of rhodesia and nyasaland,1975,NA
fernando po,1947,NA
fernando po,1952,NA
fernando po,1956,NA
fernando po,1957,NA
fernando po,1958,NA
fernando po,1959,NA
fernando po,1960,NA
fernando po,1961,NA
fernando po,1962,NA
fernando po,1963,NA
fernando po,1964,0
fernando po,1965,0
fernando po,1966,0
fernando po,1967,0
fernando po,1968,NA
fernando po,1969,NA
fernando po,1970,NA
fernando po,1971,NA
fernando po,1972,NA
fernando po,1973,NA
fernando po,1974,NA
fernando po,1975,NA
fernando po (guinea equatorial),1947,NA
fernando po (guinea equatorial),1952,NA
fernando po (guinea equatorial),1956,NA
fernando po (guinea equatorial),1957,NA
fernando po (guinea equatorial),1958,NA
fernando po (guinea equatorial),1959,NA
fernando po (guinea equatorial),1960,NA
fernando po (guinea equatorial),1961,NA
fernando po (guinea equatorial),1962,NA
fernando po (guinea equatorial),1963,NA
fernando po (guinea equatorial),1964,NA
fernando po (guinea equatorial),1965,NA
fernando po (guinea equatorial),1966,NA
fernando po (guinea equatorial),1967,NA
fernando po (guinea equatorial),1968,NA
fernando po (guinea equatorial),1969,0
fernando po (guinea equatorial),1970,NA
fernando po (guinea equatorial),1971,NA
fernando po (guinea equatorial),1972,NA
fernando po (guinea equatorial),1973,NA
fernando po (guinea equatorial),1974,NA
fernando po (guinea equatorial),1975,NA
fernando po (see spanish africa),1947,NA
fernando po (see spanish africa),1952,NA
fernando po (see spanish africa),1956,NA
fernando po (see spanish africa),1957,NA
fernando po (see spanish africa),1958,NA
fernando po (see spanish africa),1959,NA
fernando po (see spanish africa),1960,NA
fernando po (see spanish africa),1961,NA
fernando po (see spanish africa),1962,NA
fernando po (see spanish africa),1963,NA
fernando po (see spanish africa),1964,NA
fernando po (see spanish africa),1965,NA
fernando po (see spanish africa),1966,NA
fernando po (see spanish africa),1967,NA
fernando po (see spanish africa),1968,0
fernando po (see spanish africa),1969,NA
fernando po (see spanish africa),1970,NA
fernando po (see spanish africa),1971,NA
fernando po (see spanish africa),1972,NA
fernando po (see spanish africa),1973,NA
fernando po (see spanish africa),1974,NA
fernando po (see spanish africa),1975,NA
finland,1947,25000
finland,1952,NA
finland,1956,NA
finland,1957,NA
finland,1958,NA
finland,1959,NA
finland,1960,32500
finland,1961,NA
finland,1962,NA
finland,1963,40000
finland,1964,40000
finland,1965,40000
finland,1966,50000
finland,1967,49000
finland,1968,49000
finland,1969,49000
finland,1970,46700
finland,1971,47000
finland,1972,47000
finland,1973,49000
finland,1974,48000
finland,1975,48000
france,1947,1300000
france,1952,NA
france,1956,NA
france,1957,NA
france,1958,NA
france,1959,NA
france,1960,250000
france,1961,NA
france,1962,NA
france,1963,240000
france,1964,260000
france,1965,260000
france,1966,280000
france,1967,290000
france,1968,275000
france,1969,275000
france,1970,275000
france,1971,282500
france,1972,275000
france,1973,275000
france,1974,300000
france,1975,370000
french guiana,1947,NA
french guiana,1952,NA
french guiana,1956,NA
french guiana,1957,NA
french guiana,1958,NA
french guiana,1959,NA
french guiana,1960,50
french guiana,1961,NA
french guiana,1962,NA
french guiana,1963,0
french guiana,1964,NA
french guiana,1965,50
french guiana,1966,NA
french guiana,1967,NA
french guiana,1968,50
french guiana,1969,NA
french guiana,1970,NA
french guiana,1971,0
french guiana,1972,NA
french guiana,1973,NA
french guiana,1974,NA
french guiana,1975,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1947,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1952,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1956,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1957,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1958,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1959,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1960,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1961,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1962,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1963,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1964,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1965,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1966,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1967,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1968,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1969,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1970,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1971,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1972,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1973,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1974,NA
"french overseas departments (see guiana, french; guadeloupe; martinique)",1975,NA
french overseas departments listed separately,1947,NA
french overseas departments listed separately,1952,NA
french overseas departments listed separately,1956,NA
french overseas departments listed separately,1957,NA
french overseas departments listed separately,1958,NA
french overseas departments listed separately,1959,NA
french overseas departments listed separately,1960,NA
french overseas departments listed separately,1961,NA
french overseas departments listed separately,1962,NA
french overseas departments listed separately,1963,NA
french overseas departments listed separately,1964,NA
french overseas departments listed separately,1965,NA
french overseas departments listed separately,1966,NA
french overseas departments listed separately,1967,NA
french overseas departments listed separately,1968,NA
french overseas departments listed separately,1969,NA
french overseas departments listed separately,1970,NA
french overseas departments listed separately,1971,NA
french overseas departments listed separately,1972,NA
french overseas departments listed separately,1973,NA
french overseas departments listed separately,1974,NA
french overseas departments listed separately,1975,NA
french overseas departments listed separately (west. hemisphere),1947,NA
french overseas departments listed separately (west. hemisphere),1952,NA
french overseas departments listed separately (west. hemisphere),1956,NA
french overseas departments listed separately (west. hemisphere),1957,NA
french overseas departments listed separately (west. hemisphere),1958,NA
french overseas departments listed separately (west. hemisphere),1959,NA
french overseas departments listed separately (west. hemisphere),1960,NA
french overseas departments listed separately (west. hemisphere),1961,NA
french overseas departments listed separately (west. hemisphere),1962,NA
french overseas departments listed separately (west. hemisphere),1963,NA
french overseas departments listed separately (west. hemisphere),1964,NA
french overseas departments listed separately (west. hemisphere),1965,NA
french overseas departments listed separately (west. hemisphere),1966,NA
french overseas departments listed separately (west. hemisphere),1967,NA
french overseas departments listed separately (west. hemisphere),1968,NA
french overseas departments listed separately (west. hemisphere),1969,NA
french overseas departments listed separately (west. hemisphere),1970,NA
french overseas departments listed separately (west. hemisphere),1971,NA
french overseas departments listed separately (west. hemisphere),1972,NA
french overseas departments listed separately (west. hemisphere),1973,NA
french overseas departments listed separately (west. hemisphere),1974,NA
french overseas departments listed separately (west. hemisphere),1975,NA
french somaliland,1947,NA
french somaliland,1952,NA
french somaliland,1956,NA
french somaliland,1957,NA
french somaliland,1958,NA
french somaliland,1959,NA
french somaliland,1960,NA
french somaliland,1961,NA
french somaliland,1962,NA
french somaliland,1963,NA
french somaliland,1964,NA
french somaliland,1965,NA
french somaliland,1966,NA
french somaliland,1967,0
french somaliland,1968,NA
french somaliland,1969,NA
french somaliland,1970,NA
french somaliland,1971,NA
french somaliland,1972,NA
french somaliland,1973,NA
french somaliland,1974,NA
french somaliland,1975,NA
french territory of the afars and issas (ftai),1947,NA
french territory of the afars and issas (ftai),1952,NA
french territory of the afars and issas (ftai),1956,NA
french territory of the afars and issas (ftai),1957,NA
french territory of the afars and issas (ftai),1958,NA
french territory of the afars and issas (ftai),1959,NA
french territory of the afars and issas (ftai),1960,NA
french territory of the afars and issas (ftai),1961,NA
french territory of the afars and issas (ftai),1962,NA
french territory of the afars and issas (ftai),1963,NA
french territory of the afars and issas (ftai),1964,NA
french territory of the afars and issas (ftai),1965,NA
french territory of the afars and issas (ftai),1966,NA
french territory of the afars and issas (ftai),1967,NA
french territory of the afars and issas (ftai),1968,0
french territory of the afars and issas (ftai),1969,0
french territory of the afars and issas (ftai),1970,0
french territory of the afars and issas (ftai),1971,0
french territory of the afars and issas (ftai),1972,0
french territory of the afars and issas (ftai),1973,NA
french territory of the afars and issas (ftai),1974,NA
french territory of the afars and issas (ftai),1975,NA
gabon,1947,NA
gabon,1952,NA
gabon,1956,NA
gabon,1957,NA
gabon,1958,NA
gabon,1959,NA
gabon,1960,0
gabon,1961,NA
gabon,1962,NA
gabon,1963,0
gabon,1964,0
gabon,1965,0
gabon,1966,0
gabon,1967,0
gabon,1968,0
gabon,1969,0
gabon,1970,0
gabon,1971,0
gabon,1972,0
gabon,1973,NA
gabon,1974,NA
gabon,1975,NA
gambia,1947,NA
gambia,1952,NA
gambia,1956,NA
gambia,1957,NA
gambia,1958,NA
gambia,1959,NA
gambia,1960,NA
gambia,1961,NA
gambia,1962,NA
gambia,1963,NA
gambia,1964,0
gambia,1965,0
gambia,1966,0
gambia,1967,0
gambia,1968,0
gambia,1969,0
gambia,1970,0
gambia,1971,0
gambia,1972,0
gambia,1973,NA
gambia,1974,NA
gambia,1975,NA
gambia (british colony and protectorate),1947,NA
gambia (british colony and protectorate),1952,NA
gambia (british colony and protectorate),1956,NA
gambia (british colony and protectorate),1957,NA
gambia (british colony and protectorate),1958,NA
gambia (british colony and protectorate),1959,NA
gambia (british colony and protectorate),1960,NA
gambia (british colony and protectorate),1961,NA
gambia (british colony and protectorate),1962,NA
gambia (british colony and protectorate),1963,0
gambia (british colony and protectorate),1964,NA
gambia (british colony and protectorate),1965,NA
gambia (british colony and protectorate),1966,NA
gambia (british colony and protectorate),1967,NA
gambia (british colony and protectorate),1968,NA
gambia (british colony and protectorate),1969,NA
gambia (british colony and protectorate),1970,NA
gambia (british colony and protectorate),1971,NA
gambia (british colony and protectorate),1972,NA
gambia (british colony and protectorate),1973,NA
gambia (british colony and protectorate),1974,NA
gambia (british colony and protectorate),1975,NA
german democratic republic,1947,NA
german democratic republic,1952,NA
german democratic republic,1956,NA
german democratic republic,1957,NA
german democratic republic,1958,NA
german democratic republic,1959,NA
german democratic republic,1960,NA
german democratic republic,1961,NA
german democratic republic,1962,NA
german democratic republic,1963,NA
german democratic republic,1964,NA
german democratic republic,1965,NA
german democratic republic,1966,NA
german democratic republic,1967,NA
german democratic republic,1968,NA
german democratic republic,1969,NA
german democratic republic,1970,NA
german democratic republic,1971,1893594
german democratic republic,1972,NA
german democratic republic,1973,NA
german democratic republic,1974,1951421
german democratic republic,1975,1946000
germany (combined),1947,NA
germany (combined),1952,NA
germany (combined),1956,NA
germany (combined),1957,NA
germany (combined),1958,NA
germany (combined),1959,NA
germany (combined),1960,NA
germany (combined),1961,NA
germany (combined),1962,NA
germany (combined),1963,NA
germany (combined),1964,NA
germany (combined),1965,NA
germany (combined),1966,NA
germany (combined),1967,NA
germany (combined),1968,NA
germany (combined),1969,NA
germany (combined),1970,NA
germany (combined),1971,NA
germany (combined),1972,NA
germany (combined),1973,NA
germany (combined),1974,NA
germany (combined),1975,NA
germany (federal republic of germany),1947,NA
germany (federal republic of germany),1952,NA
germany (federal republic of germany),1956,NA
germany (federal republic of germany),1957,NA
germany (federal republic of germany),1958,NA
germany (federal republic of germany),1959,NA
germany (federal republic of germany),1960,NA
germany (federal republic of germany),1961,NA
germany (federal republic of germany),1962,NA
germany (federal republic of germany),1963,42500
germany (federal republic of germany),1964,NA
germany (federal republic of germany),1965,NA
germany (federal republic of germany),1966,NA
germany (federal republic of germany),1967,NA
germany (federal republic of germany),1968,NA
germany (federal republic of germany),1969,NA
germany (federal republic of germany),1970,NA
germany (federal republic of germany),1971,NA
germany (federal republic of germany),1972,NA
germany (federal republic of germany),1973,NA
germany (federal republic of germany),1974,NA
germany (federal republic of germany),1975,NA
germany (german democratic republic and east berlin),1947,NA
germany (german democratic republic and east berlin),1952,NA
germany (german democratic republic and east berlin),1956,NA
germany (german democratic republic and east berlin),1957,NA
germany (german democratic republic and east berlin),1958,NA
germany (german democratic republic and east berlin),1959,NA
germany (german democratic republic and east berlin),1960,NA
germany (german democratic republic and east berlin),1961,NA
germany (german democratic republic and east berlin),1962,NA
germany (german democratic republic and east berlin),1963,1610000
germany (german democratic republic and east berlin),1964,NA
germany (german democratic republic and east berlin),1965,NA
germany (german democratic republic and east berlin),1966,NA
germany (german democratic republic and east berlin),1967,NA
germany (german democratic republic and east berlin),1968,NA
germany (german democratic republic and east berlin),1969,NA
germany (german democratic republic and east berlin),1970,NA
germany (german democratic republic and east berlin),1971,NA
