year\variable,category,area_prefix,area,party_name,population_est,party_membership,cp_membership_num,pct_of_pop,status,sino_soviet,pub_names,pub_circs,date_founded,party_leader,pct_vote,vote_as_of,seats_txt,seats_controlled,total_seats,seats_pct,leg_text,last_congress
1971,,,Guatemala,Guatemalan Party of Labor (PGT); FAR; MR-13,5100000,750 (est); 50-100 (75); 50-100 (75),900,0.000176471,,,,,1921,,,,,,,,,
1971,,,Guyana,People's Progressive Party (PPP),721000,20000 (est),20000,0.027739251,,,,,1950,,,,,,,,,
1971,,,Haiti,Unified Party of Haitian Communists (PUCH),5200000,500 (est),500,9.62E-05,,,,,1930,,,,,,,,,
1971,,,Honduras,Communist Party of Honduras (PCH); PRH; MFM,2700000,500-1500 (1000) (est); 150-300 (225); 150-300 (225),1450,0.000537037,,,,,1927,,,,,,,,,
1971,,,Martinique,Martinique Communist Party (PCM),335000,700-1300,1000,0.002985075,,,,,1957,,,,,,,,,
1971,,,Mexico,Mexican Communist Party (PCM); other small leftist groups; PPS,50700000,5000 (est); 1000 (est); 75000 (est),81000,0.001597633,,,,,Sep-19,,,,,,,,,
1971,,,Nicaragua,Socialist Party of Nicaragua (PSN); Sandinist [sic] National Liberation Front,2000000,200 (est); 100 (est),300,0.00015,,,,,1937,,,,,,,,,
1971,,,Panama,People's Party of Panama (PDP),1500000,250 (est),250,0.000166667,,,,,1930,,,,,,,,,
1971,,,Paraguay,Paraguayan Communist Party (PCP),2400000,4500-5000 (est),4750,0.001979167,,,,,1928,,,,,,,,,
1971,,,Peru,Peruvian Communist Party (PCP); pro-Chinese faction,13600000,2000; 3000 (est),5000,0.000367647,,,,,1928,,,,,,,,,
1971,,,Puerto Rico,Puerto Rican Communist Party (PCP); LSP; MPI; PSO; MR; CAL,2800000,20; 30; 750-1500 (1125) (est); 12; 30; unknown,1217,0.000434643,,,,,,,,,,,,,,
1971,,,Uruguay,Communist Party of Uruguay (PCU); MLN (Tupamaros),2900000,"30000-35000, 1000 (est)",33500,0.011551724,,,,,September 1920; 1962,,,,,,,,,
1971,,,Venezuela,"Communist Party of Venezuela; FALN, MIR, other guerrilla groups",10800000,8000 (est); 100-250 (est),8175,0.000756944,,,,,1931,,,,,,,,,
1971,Asia and the Pacific,,Australia,Communist Party of Australia (CPA); ACP(ML),12031000,4000 (est); 250 (est),4250,0.000353254,,,,,October 1920; March 1964,,,,,,,,,
1971,,,Burma,Burmese Communist Party (White Flags) (BCP); Communist Party of Burma (Red Flags) (CPB); KNUP; KNDO; KIA,27700000,"400-5000 (est) (2700); N/A; 1000-2500 (est) (1750); 7000 (claim), 5000 (est); 2000-3000 (est) (2500)",11950,0.000431408,,,,,15 August 1939; 1946,,,,,,,,,
1971,,,Cambodia,People's Revolutionary Party of Cambodia (PRP); Khmer People's Party (PP); Khmer Revolutionary Front; Khmer Rouge; CNLA,7100000,100 (est); 1000 (est) (several thousands sympathizers); 100 (est); 500-4000 (est) (2750); 60000-65000 (est) (62500),66450,0.009359155,,,,,1951; 1955; N/A; N/A; 1970,,,,,,,,,
1971,,,Ceylon,pro-Soviet Ceylon Communist Party (LKP); pro-Chinese LKP; LSSP (Trotskyist) and splinter groups,12730000,1500-2000 (est) (1750); 200-2000 (est) (1100); not stated (???),2850,0.000223881,,,,,1940,,,,,,,,,
1971,,,China,Chinese Communist Party (CCP),750000000,17000000 (early est),17000000,0.022666667,,,,,Jul-21,,,,,,,,,
1971,,,India,Communist Party of India (CPI); CPI(M); CPI(M-L); Maoist Communist Centre,554600000,80000 (est); 80000 (est); 5000-10000 (est) (7500); 2000 (est),169500,0.000305626,,,,,26 December 1925; 1964; 1969,,,,,,,,,
1971,,,Indonesia,Communist Party of Indonesia (PKI),121200000,"169000+8000 at large (177000), 68000+47000 jailed (115000), 2500+5000 (7500) being transported",299500,0.002471122,,,,,23-May-20,,,,,,,,,
1971,,,Japan,Japan Communist Party (JCP); Democratic Youth League; Communist Workers' Party; Voice of Japan; Japanese Communist Party (Left); Japan Marxist-Leninist Alliance,103703522,280000 (est); 180000 (est); 2000 (est); 500 (est); 2000 (est); 700 (est),465200,0.004485865,,,,,Jul-22,,,,,,,,,
1971,,,Democratic People's Republic of Korea,Korean Communist Party (KCP),13900000,1600000 (claim),1600000,0.115107914,,,,,1925,,,,,,,,,
1971,,,Laos,Laotian People's Party (PPL); Laotian Patriotic Front (NLHX); Pathet Lao; PNF,3000000,700 (est); 1500-3000 (est) (2250); 30000-40000 (35000) + 2500 supporters + 2000-3000 dissident neutralists + 40000-67000 North Vietnamese Troops (53500); 2000-3000 (2500),94350,0.03145,,,,,1955,,,,,,,,,
1971,,,Malaysia,Communist Party of Malaya (CPM); Sarawak Communist Organization (SCO),10800000,2000-2500 (est) (2250); 500 (est),2750,0.00025463,,,,,1928; N/A,,,,,,,,,
1971,,,Mongolia,Mongolian People's Revolutionary Party (MPRP),1300000,71000 (claim),71000,0.054615385,,,,,1921,,,,,,,,,
1971,,,Nepal,Communist Party of Nepal (CPN),11200000,8000 (est),8000,0.000714286,,,,,Sep-49,,,,,,,,,
1971,,,New Zealand,"Communist Party of New Zealand (CPNZ); pro-Soviet Socialist Unity Party (SUP), Trotskyist Socialist Action League (SAL)",2786000,300; 100; 100 (est),500,0.000179469,,,,,December 1920; 1966; 1969,,,,,,,,,
1971,,,Pakistan,Communist Party of Pakistan (CPP),136900000,"500 in West, 2500 in East (est) (World Strength ests: 700 in East and 750 in West)",3000,2.19E-05,,,,,1948,,,,,,,,,
1971,,,Philippines,Philippine Communist Party (PKP); Philippine Branch of Chinese Communist Party; Huks; NPA; Nationalist Youth Movement (KM); Masaka,38000000,"1500-2000 (est) (1750); 300-500 (est) (400); 300 (est); 800-900 (est) (850); 6000 (claim), 3000-5000 (est) (4000); 30000",37300,0.000981579,,,,,26 August 1930; 1930,,,,,,,,,
1971,,,Singapore,Communist Party of Malaya (CPM),2000000,200 (est),200,0.0001,,,,,,,,,,,,,,
1971,,,Thailand,Communist Party of Thailand (CPT),36200000,"200-500 members (350), 3000-5000 guerrillas (4000), 25000 sympathizers",4350,0.000120166,,,,,1-Dec-42,,,,,,,,,
1971,,,Democratic Republic of Vietnam (North Vietnam),Vietnam Workers' Party (VWP),21200000,"760000 (Ho Chi Minh, 1966 claim)",760000,0.035849057,,,,,1930,,,,,,,,,
1971,,,Republic of Vietnam (South Vietnam),People's Revolutionary Party (PRP); NLFSV; North Vietnamese troops in SV,18000000,85000-100000 (est); 40000 main force + 100000 guerrillas (World Strength est) (140000); 117000-119000 (US DoD est) (118000),350500,0.019472222,,,,,1-Jan-62,,,,,,,,,
1974,Eastern Europe and the Soviet Union,,Albania,,2270000,91985-92985,92485,0.040742291,,,,,,,,,,,,,,
1974,,,Bulgaria,,N/A,699476,699476,,,,,,,,,,,,,,,
1974,,,Czechoslovakia,,N/A,1280000,1280000,,,,,,,,,,,,,,,
1974,,,German Democratic Republic,,17250000,"1902809 members, 48612 candidates",1951421,0.113125855,,,,,,,,,,,,,,
1974,,,Hungary,,10429000,724000,724000,0.069421805,,,,,,,,,,,,,,
1974,,,Poland,,33700000,2300000,2300000,0.068249258,,,,,,,,,,,,,,
1974,,,Romania,,20800000,2366000,2366000,0.11375,,,,,,,,,,,,,,
1974,,,USSR,,N/A,"14330525 members, 490506 candidate members",14821031,,,,,,,,,,,,,,,
1974,,,Yugoslavia,,20770000,"1025476 (claim, 1972)",1025476,0.049372942,,,,,,,,,,,,,,
1974,Western Europe,,Austria,,7400000,15000 (est),15000,0.002027027,,,,,,,,,,,,,,
1974,,,Belgium,,10000000,12500,12500,0.00125,,,,,,,,,,,,,,
1974,,,Cyprus,,660000,12000-14000,13000,0.01969697,,,,,,,,,,,,,,
1974,,,Denmark,,5000000,7500,7500,0.0015,,,,,,,,,,,,,,
1974,,,Finland,,4700000,48000,48000,0.010212766,,,,,,,,,,,,,,
1974,,,France,,52000000,300000,300000,0.005769231,,,,,,,,,,,,,,
1974,,,Federal Republic of Germany,,N/A,"45000 + 4800 ""extreme"" leftists",49800,,,,,,,,,,,,,,,
1974,,,West Berlin,,2135000,8000,8000,0.003747073,,,,,,,,,,,,,,
1974,,,Great Britain,,55347000,29943,29943,0.000541005,,,,,,,,,,,,,,
1974,,,Greece,,8800000,"27000 in greece, 15000 abroad",42000,0.004772727,,,,,,,,,,,,,,
1974,,,Iceland,,210000,2000,2000,0.00952381,,,,,,,,,,,,,,
1974,,,Ireland,,4421000,300,300,6.79E-05,,,,,,,,,,,,,,
1974,,,Italy,,55338000,1726537,1726537,0.031199845,,,,,,,,,,,,,,
1974,,,Luxembourg,,400000,500-600 (est),550,0.001375,,,,,,,,,,,,,,
1974,,,Netherlands,,13400000,10000 (est),10000,0.000746269,,,,,,,,,,,,,,
1974,,,Norway,,4000000,a few thousand (est),3000,0.00075,,,,,,,,,,,,,,
1974,,,Portugal,,8900000,2000,2000,0.000224719,,,,,,,,,,,,,,
1974,,,San Marino,,19000,1000,1000,0.052631579,,,,,,,,,,,,,,
1974,,,Spain,"Communist Party of Spain (PCE); ""rival PCE""",34000000,"5000-20000 in Spain (12500), 22000 exiles; 2000-3000 exile members (2500)",37000,0.001088235,,,,,,,,,,,,,,
1974,,,Sweden,,8000000,17000,17000,0.002125,,,,,,,,,,,,,,
1974,,,Switzerland,,N/A,4500-5000,4750,,,,,,,,,,,,,,,
1974,,,Turkey,,N/A,5000,5000,,,,,,,,,,,,,,,
1974,Middle East and Africa,,Algeria,,14000000,400,400,2.86E-05,,,,,,,,,,,,,,
1974,,,Egypt,,N/A,N/A,N/A,,,,,,,,,,,,,,,
1974,,,Iran,,28662000,500,500,1.74E-05,,,,,,,,,,,,,,
1974,,,Iraq,,9400000,"2000 members, 10000-20000 sympathizers",2000,0.000212766,,,,,,,,,,,,,,
1974,,,Israel,MAKI; RAKAH,2900000,1500; 1500,3000,0.001034483,,,,,,,,,,,,,,
1974,,,Jordan,,2500000,"500-1000 members, 5000 sympathizers",750,0.0003,,,,,,,,,,,,,,
1974,,,Lebanon,,2800000,2000-3000 (est),2500,0.000892857,,,,,,,,,,,,,,
1974,,,Morocco,,16000000,300-400 (est),350,0.000021875,,,,,,,,,,,,,,
1974,,,Nigeria,,N/A,N/A,N/A,,,,,,,,,,,,,,,
1974,,,Reunion,,N/A,800 (US State Dept est),800,,,,,,,,,,,,,,,
1974,,,South Africa,,N/A,N/A,N/A,,,,,,,,,,,,,,,
1974,,,Sudan,,N/A,"5000-10000 active members, several thousand sympathizers",7500,,,,,,,,,,,,,,,
1974,,,Syria,,6294000,3000-4000 (est),3500,0.000556085,,,,,,,,,,,,,,
1974,,,Tunisia,,5140000,100 (est),100,1.95E-05,,,,,,,,,,,,,,
1974,The Americas,,Argentina,,24350000,"115000 members, 40000 in youth group",155000,0.006365503,,,,,,,,,,,,,,
1974,,,Bolivia,PCB; PCB-ML,5000000,1500; 1100,2600,0.00052,,,,,,,,,,,,,,
1974,,,Brazil,"PCB; ""all other Marxist groups in Brazil""",100000000,6000; 1000,7000,0.00007,,,,,,,,,,,,,,
1974,,,Canada,,22000000,2000-3000 (est),2500,0.000113636,,,,,,,,,,,,,,
1974,,,Chile,,10044900,200000 (claim); 75000 in youth group,275000,0.027377077,,,,,,,,,,,,,,
1974,,,Colombia,Communist Party of Colombia (PCC); FARC; EPL; ELN,24000000,10000-12000 (est); 500; 200; 100,11800,0.000491667,,,,,,,,,,,,,,
1974,,,Costa Rica,,1786000,1000,1000,0.00055991,,,,,,,,,,,,,,
1974,,,Cuba,,8553395,153000,153000,0.017887634,,,,,,,,,,,,,,
1974,,,Dominican Republic,Dominican Communist Party (PCD); MPD; MR-1J4; PCRD; VP; PSP,4300000,460; 385; 300; 145; 65; 40,1400,0.000325581,,,,,,,,,,,,,,
1974,,,Ecuador,Communist Party of Ecuador (PCE); PCMLE,6100000,500; 250,750,0.000122951,,,,,,,,,,,,,,
1974,,,El Salvador,,3541000,100-150 (est),125,3.53E-05,,,,,,,,,,,,,,
1974,,,Guadeloupe,,335000,"1500 (claim), 3000 (US State Dept est)",3000,0.008955224,,,,,,,,,,,,,,
1974,,,Guatemala,Guatemalan Party of Labor (PGT); FAR; MR-13,5310000,750; 100; 100,950,0.000178908,,,,,,,,,,,,,,
1974,,,Guyana,,763000,20000,20000,0.02621232,,,,,,,,,,,,,,
1974,,,Haiti,,5200000,several hundred persons,500,9.62E-05,,,,,,,,,,,,,,
1974,,,Honduras,Communist Party of Honduras (PCH),2700000,300,300,0.000111111,,,,,,,,,,,,,,
1974,,,Martinique,,335000,1000,1000,0.002985075,,,,,,,,,,,,,,
1974,,,Mexico,,50700000,5000,5000,9.86E-05,,,,,,,,,,,,,,
1974,,,Nicaragua,Socialist Party of Nicaragua (PSN); Communist Party of Nicaragua (PCN),2000000,less than 100 (est); 40,140,0.00007,,,,,,,,,,,,,,
1974,,,Panama,,1464000,250-500 (est),375,0.000256148,,,,,,,,,,,,,,
1974,,,Paraguay,,2400000,3000-4000 (est),3500,0.001458333,,,,,,,,,,,,,,
1974,,,Peru,Peruvian Communist Party (PCP); pro-Chinese faction,13600000,2000; 1200 (US State Dept est),3200,0.000235294,,,,,,,,,,,,,,
1974,,,Puerto Rico,Puerto Rican Communist Party (PCP) and LSP; MPI,N/A,100; 15000-18000,16600,,,,,,,,,,,,,,,
1974,,,USA,"Communist Party, USA (CPUSA)",N/A,10000-16000,13000,,,,,,,,,,,,,,,
1974,,,Uruguay,,2900000,30000-35000,32500,0.011206897,,,,,,,,,,,,,,
1974,,,Venezuela,Communist Party of Venezuela (PCV); Movement Towards Socialism (MAS),10800000,3000; 4500 (US State Dept est),7500,0.000694444,,,,,,,,,,,,,,
1974,Asia and the Pacific,,Australia,,N/A,2300 (claim),2300,,,,,,,,,,,,,,,
1974,,,Bangladesh,,N/A,2500 (est),2500,,,,,,,,,,,,,,,
1974,,,Burma,,28000000,10600,10600,0.000378571,,,,,,,,,,,,,,
1974,,,Cambodia,,N/A,"50000-65000 insurgents (American officials est) (57500), 115000+110000+10000 (235000) Phnom Penh army",292500,,,,,,,,,,,,,,,
1974,,,China,,800000000,28000000,28000000,0.035,,,,,,,,,,,,,,
1974,,,India,Communist Party of India (CPI); CPI(M); CPI(M-L),547949809,80000-100000; 80000-100000; 1000,181000,0.000330322,,,,,,,,,,,,,,
1974,,,Indonesia,,,"4000 (Indonesian army intelligence est), 58000 prisoners",62000,,,,,,,,,,,,,,,
1974,,,Japan,,108000000,"340000 members, 200000 youth league",540000,0.005,,,,,,,,,,,,,,
1974,,,Democratic People's Republic of Korea,,14000000,2000000,2000000,0.142857143,,,,,,,,,,,,,,
1974,,,Laos,Lao People's Party (PPL); Pathet Lao (LPLA); PNF,N/A,12000-14000 (US State Dept est); 43000; 2000,58000,,,,,,,,,,,,,,,
1974,,,Malaysia,Communist Party of Malaya (CPM); other adherents; SCO,N/A,2000-3000; 5000; 1000,8500,,,,,,,,,,,,,,,
1974,,,Mongolia,Mongolian People's Revolutionary Party (MPRP),1300000,"58048 (claim, 1971)",58048,0.044652308,,,,,,,,,,,,,,
1974,,,Nepal,Communist Party of Nepal (CPN),12000000,5000 (est),5000,0.000416667,,,,,,,,,,,,,,
1974,,,New Zealand,"Communist Party of New Zealand (CPNZ); pro-Soviet Socialist Unity Party (SUP), Trotskyist Socialist Action League (SAL)",3000000,100 (est); 100 (est); 40 (est),240,0.00008,,,,,,,,,,,,,,
1974,,,Pakistan,,N/A,N/A,N/A,,,,,,,,,,,,,,,
1974,,,Philippines,Communist Party of the Philippines (PKP); AB; radical and/or front groups like Masaka,N/A,1500; 100; several hundred,2000,,,,,,,,,,,,,,,
1974,,,Singapore,Communist Party of Malaya (CPM),N/A,N/A,N/A,,,,,,,,,,,,,,,
1974,,,Sri Lanka,SLCP; JVP,12800000,2000 (claim); 18000,20000,0.0015625,,,,,,,,,,,,,,
1974,,,Thailand,"""communist terrorists""; Thai Communist Party",36000000,3700 hard-core insurgents; 1000 (US Dept of State est),4700,0.000130556,,,,,,,,,,,,,,
1974,,,Democratic Republic of Vietnam (North Vietnam),Lao Dong Party,22000000,1300000 (widely accepted),1300000,0.059090909,,,,,,,,,,,,,,
1974,,,Republic of Vietnam (South Vietnam),PRP; PLAF; PAVN in S. Vietnam,18000000,60000 (Western intelligence observers); 80000-100000 (est) (90000); 270000-300000 (estimates produced in Saigon) (285000),435000,0.024166667,,,,,,,,,,,,,,
1975,,,Albania,,2322600,86985,86985,0.037451563,,,,,,,,,,,,,,
1975,,,Bulgaria,,6363636,700000,700000,0.110000006,,,,,,,,,,,,,,
1975,,,Czechoslovakia,,14480000,1250000+124000,1374000,0.094889503,,,,,,,,,,,,,,
1975,,,German Democratic Republic,,17050000,"1900000 full, 46000 candidates",1946000,0.114134897,,,,,,,,,,,,,,
1975,,,Hungary,,10400000,770000,770000,0.074038462,,,,,,,,,,,,,,
1975,,,Poland,,33700000,2330000,2330000,0.069139466,,,,,,,,,,,,,,
1975,,,Romania,,20770000,2480000,2480000,0.119402985,,,,,,,,,,,,,,
1975,,,USSR,,252000000,14970000,14970000,0.059404762,,,,,,,,,,,,,,
1975,,,Yugoslavia,,21260000,1076711,1076711,0.05064492,,,,,,,,,,,,,,
1975,Western Europe,,Austria,,7400000,20676,20676,0.002794054,,,,,,,,,,,,,,
1975,,,Belgium,,10000000,10000-12500,11250,0.001125,,,,,,,,,,,,,,
1975,,,Cyprus,,651000,12000-14000,13000,0.019969278,,,,,,,,,,,,,,
1975,,,Denmark,,5100000,8000,8000,0.001568627,,,,,,,,,,,,,,
1975,,,Finland,,4700000,48000,48000,0.010212766,,,,,,,,,,,,,,
1975,,,France,,N/A,330000-410000,370000,,,,,,,,,,,,,,,
1975,,,Federal Republic of Germany,,61670000,40000,40000,0.000648614,,,,,,,,,,,,,,
1975,,,West Berlin,,2134300,8000,8000,0.003748302,,,,,,,,,,,,,,
1975,,,Great Britain,,55347000,28943,28943,0.000522937,,,,,,,,,,,,,,
1975,,,Greece,,9000000,100000,100000,0.011111111,,,,,,,,,,,,,,
1975,,,Iceland,,210000,2500,2500,0.011904762,,,,,,,,,,,,,,
1975,,,Ireland,,3791000,250-300,275,7.25E-05,,,,,,,,,,,,,,
1975,,,Italy,,54350000,1657815,1657815,0.030502576,,,,,,,,,,,,,,
1975,,,Luxembourg,,400000,500-1000,750,0.001875,,,,,,,,,,,,,,
1975,,,Netherlands,,13400000,10000,10000,0.000746269,,,,,,,,,,,,,,
1975,,,Norway,,4000000,2000-5000,3500,0.000875,,,,,,,,,,,,,,
1975,,,Portugal,,N/A,15000-60000 (37500) + 25000 + 800 + 1500,64800,,,,,,,,,,,,,,,
1975,,,San Marino,,19000,3246,3246,0.170842105,,,,,,,,,,,,,,
1975,,,Spain,,34500000,34000,34000,0.000985507,,,,,,,,,,,,,,
1975,,,Sweden,,8000000,17000,17000,0.002125,,,,,,,,,,,,,,
1975,,,Switzerland,,6420000,5000,5000,0.000778816,,,,,,,,,,,,,,
1975,,,Turkey,,N/A,N/A,N/A,,,,,,,,,,,,,,,
1975,Asia and the Pacific,,Australia,,N/A,2000,2000,,,,,,,,,,,,,,,
1975,,,Bangladesh,,N/A,N/A,N/A,,,,,,,,,,,,,,,
1975,,,Burma,,28800000,11200,11200,0.000388889,,,,,,,,,,,,,,
